eval_id,record_id,assessment_name,score,weight,evaluation_date
1,1,Practical,84.62,0.25,2025-01-10
2,1,Practical,69.15,0.25,2025-01-01
3,1,Practical,72.48,0.25,2025-01-04
4,1,Midterm,90.53,0.25,2024-11-30
5,2,Final,66.27,0.25,2024-12-18
6,2,Practical,76.19,0.25,2024-11-20
7,2,Drill,72.01,0.25,2024-11-11
8,2,Midterm,92.98,0.25,2024-12-24
9,3,Practical,84.94,0.25,2024-11-30
10,3,Drill,81.35,0.25,2024-11-28
11,3,Drill,90.94,0.25,2024-11-25
12,3,Practical,69.55,0.25,2024-12-01
13,4,Drill,60.36,0.25,2024-08-13
14,4,Drill,85.76,0.25,2024-07-09
15,4,Midterm,70.99,0.25,2024-08-03
16,5,Practical,60.75,0.25,2024-07-21
17,5,Practical,72.78,0.25,2024-07-25
18,6,Midterm,88.65,0.25,2024-08-01
19,6,Final,96.88,0.25,2024-08-23
20,6,Midterm,71.11,0.25,2024-08-29
21,7,Drill,95.16,0.25,2024-08-25
22,7,Drill,73.6,0.25,2024-08-11
23,7,Practical,83.62,0.25,2024-08-18
24,8,Midterm,74.04,0.25,2025-06-11
25,8,Drill,75.74,0.25,2025-06-16
26,9,Midterm,60.8,0.25,2025-06-18
27,9,Drill,71.23,0.25,2025-06-08
28,9,Midterm,84.3,0.25,2025-06-11
29,9,Drill,69.94,0.25,2025-05-15
30,10,Midterm,64.74,0.25,2025-05-24
31,10,Final,68.75,0.25,2025-05-02
32,11,Midterm,93.84,0.25,2026-02-03
33,11,Final,84.28,0.25,2026-02-02
34,11,Midterm,73.43,0.25,2026-02-11
35,11,Drill,69.89,0.25,2026-01-16
36,12,Practical,82.06,0.25,2026-01-23
37,12,Midterm,88.03,0.25,2026-02-08
38,12,Practical,70.94,0.25,2026-02-07
39,12,Practical,94.28,0.25,2026-01-02
40,13,Practical,68.29,0.25,2025-12-27
41,13,Midterm,82.41,0.25,2026-01-07
42,13,Midterm,68.81,0.25,2025-12-17
43,14,Practical,65.58,0.25,2026-01-30
44,14,Midterm,77.67,0.25,2026-02-10
45,14,Practical,95.72,0.25,2026-02-19
46,14,Drill,73.29,0.25,2026-01-30
47,15,Midterm,68.41,0.25,2024-08-16
48,15,Practical,72.06,0.25,2024-07-16
49,15,Final,82.2,0.25,2024-07-22
50,16,Drill,86.48,0.25,2024-08-17
51,16,Drill,76.26,0.25,2024-07-29
52,16,Practical,92.56,0.25,2024-08-27
53,17,Final,77.29,0.25,2024-07-30
54,17,Drill,83.17,0.25,2024-07-29
55,18,Midterm,91.73,0.25,2024-07-30
56,18,Drill,70.32,0.25,2024-07-19
57,18,Final,71.61,0.25,2024-07-26
58,18,Practical,76.68,0.25,2024-07-21
59,19,Final,73.57,0.25,2024-08-12
60,19,Final,99.54,0.25,2024-08-08
61,19,Final,78.04,0.25,2024-07-22
62,20,Midterm,77.39,0.25,2024-09-04
63,20,Drill,98.86,0.25,2024-09-11
64,20,Drill,92.31,0.25,2024-08-22
65,20,Final,88.49,0.25,2024-09-24
66,21,Drill,67.5,0.25,2024-12-25
67,21,Drill,84.15,0.25,2024-12-18
68,21,Drill,65.49,0.25,2024-12-06
69,22,Midterm,84.48,0.25,2024-12-14
70,22,Final,65.74,0.25,2024-11-27
71,22,Midterm,76.0,0.25,2024-12-12
72,23,Final,82.83,0.25,2024-11-30
73,23,Final,97.96,0.25,2024-11-12
74,23,Midterm,78.39,0.25,2024-11-22
75,24,Drill,81.72,0.25,2024-12-05
76,24,Drill,82.4,0.25,2024-12-14
77,24,Midterm,94.97,0.25,2024-12-11
78,24,Final,69.62,0.25,2024-11-30
79,25,Practical,63.19,0.25,2024-12-31
80,25,Drill,78.57,0.25,2024-12-13
81,25,Practical,77.74,0.25,2025-01-19
82,26,Drill,82.21,0.25,2025-05-28
83,26,Final,62.99,0.25,2025-05-07
84,27,Final,92.02,0.25,2025-05-14
85,27,Drill,79.45,0.25,2025-04-25
86,28,Practical,98.25,0.25,2025-06-10
87,28,Practical,70.98,0.25,2025-05-30
88,28,Final,67.2,0.25,2025-06-08
89,29,Drill,61.38,0.25,2025-07-03
90,29,Final,60.89,0.25,2025-06-23
91,29,Drill,72.5,0.25,2025-06-28
92,30,Final,61.97,0.25,2024-08-25
93,30,Practical,76.73,0.25,2024-08-23
94,31,Drill,68.38,0.25,2024-08-26
95,31,Drill,92.52,0.25,2024-09-19
96,32,Midterm,72.15,0.25,2024-07-11
97,32,Drill,78.69,0.25,2024-08-06
98,32,Midterm,73.32,0.25,2024-08-16
99,32,Final,61.94,0.25,2024-07-28
100,33,Practical,78.08,0.25,2025-03-29
101,33,Drill,67.69,0.25,2025-04-04
102,34,Drill,93.12,0.25,2025-05-04
103,34,Practical,69.68,0.25,2025-05-15
104,35,Practical,99.68,0.25,2025-04-29
105,35,Final,98.46,0.25,2025-04-25
106,35,Midterm,66.88,0.25,2025-04-26
107,36,Midterm,64.86,0.25,2025-03-20
108,36,Midterm,73.19,0.25,2025-04-25
109,36,Drill,77.66,0.25,2025-03-20
110,37,Practical,97.76,0.25,2024-12-21
111,37,Practical,66.12,0.25,2025-01-06
112,38,Midterm,83.24,0.25,2025-02-01
113,38,Drill,74.95,0.25,2024-12-28
114,38,Final,86.29,0.25,2024-12-29
115,38,Final,80.86,0.25,2025-01-13
116,39,Practical,69.61,0.25,2025-01-19
117,39,Drill,82.66,0.25,2025-02-05
118,39,Practical,75.27,0.25,2025-02-06
119,39,Drill,98.16,0.25,2025-02-14
120,40,Final,86.3,0.25,2024-12-31
121,40,Practical,77.23,0.25,2024-12-16
122,40,Practical,70.82,0.25,2024-12-28
123,40,Final,83.03,0.25,2024-12-24
124,41,Drill,87.59,0.25,2025-01-08
125,41,Midterm,98.76,0.25,2025-02-07
126,42,Midterm,76.85,0.25,2025-02-05
127,42,Drill,65.49,0.25,2025-01-16
128,42,Midterm,72.7,0.25,2025-01-17
129,42,Midterm,89.03,0.25,2025-01-16
130,43,Drill,75.06,0.25,2024-06-12
131,43,Final,60.97,0.25,2024-06-07
132,43,Practical,97.51,0.25,2024-07-11
133,44,Midterm,99.23,0.25,2024-06-01
134,44,Final,60.73,0.25,2024-06-22
135,45,Drill,67.89,0.25,2024-06-19
136,45,Practical,69.23,0.25,2024-06-15
137,46,Midterm,79.01,0.25,2024-07-17
138,46,Final,91.17,0.25,2024-07-29
139,47,Midterm,84.09,0.25,2024-05-23
140,47,Final,65.67,0.25,2024-06-09
141,47,Midterm,84.08,0.25,2024-06-07
142,47,Practical,77.35,0.25,2024-05-31
143,48,Drill,68.48,0.25,2025-04-17
144,48,Drill,76.7,0.25,2025-04-14
145,48,Final,94.39,0.25,2025-03-23
146,49,Final,75.86,0.25,2025-03-20
147,49,Final,76.93,0.25,2025-03-05
148,50,Midterm,98.33,0.25,2025-04-16
149,50,Midterm,63.39,0.25,2025-03-26
150,50,Practical,78.4,0.25,2025-04-05
151,51,Final,82.6,0.25,2025-03-27
152,51,Practical,73.93,0.25,2025-03-16
153,51,Practical,79.68,0.25,2025-03-04
154,52,Final,86.08,0.25,2025-03-24
155,52,Midterm,86.52,0.25,2025-03-16
156,52,Final,61.74,0.25,2025-03-03
157,53,Drill,91.45,0.25,2024-04-03
158,53,Drill,86.29,0.25,2024-04-16
159,53,Midterm,77.1,0.25,2024-04-03
160,54,Practical,70.63,0.25,2024-03-19
161,54,Final,99.29,0.25,2024-03-23
162,54,Final,61.76,0.25,2024-04-09
163,54,Drill,60.31,0.25,2024-04-14
164,55,Midterm,73.15,0.25,2024-02-26
165,55,Drill,90.95,0.25,2024-04-08
166,56,Midterm,72.18,0.25,2024-03-30
167,56,Practical,61.29,0.25,2024-04-06
168,57,Drill,82.64,0.25,2025-12-21
169,57,Drill,89.81,0.25,2025-12-06
170,57,Drill,85.67,0.25,2026-01-06
171,57,Final,67.9,0.25,2025-12-03
172,58,Drill,84.6,0.25,2025-12-09
173,58,Final,67.77,0.25,2025-12-02
174,58,Midterm,71.13,0.25,2025-12-20
175,58,Midterm,92.17,0.25,2025-11-29
176,59,Midterm,81.92,0.25,2025-12-15
177,59,Drill,90.0,0.25,2026-01-04
178,60,Drill,70.61,0.25,2026-01-14
179,60,Final,91.28,0.25,2026-01-16
180,61,Midterm,86.28,0.25,2025-12-28
181,61,Final,86.44,0.25,2025-12-25
182,62,Final,92.75,0.25,2025-11-30
183,62,Drill,65.56,0.25,2025-12-21
184,62,Midterm,76.39,0.25,2025-12-21
185,62,Drill,65.51,0.25,2025-11-20
186,63,Practical,91.11,0.25,2025-11-17
187,63,Drill,84.76,0.25,2025-11-19
188,64,Midterm,67.49,0.25,2026-01-08
189,64,Midterm,87.12,0.25,2025-12-06
190,64,Drill,92.35,0.25,2026-01-04
191,65,Midterm,88.26,0.25,2025-11-20
192,65,Practical,86.8,0.25,2025-10-13
193,65,Drill,70.33,0.25,2025-11-08
194,66,Practical,78.7,0.25,2025-12-30
195,66,Drill,82.23,0.25,2026-01-13
196,67,Practical,88.25,0.25,2025-12-19
197,67,Practical,72.68,0.25,2025-12-18
198,67,Final,93.28,0.25,2025-12-06
199,67,Final,79.27,0.25,2025-12-09
200,68,Final,68.69,0.25,2025-05-10
201,68,Midterm,84.88,0.25,2025-05-21
202,68,Midterm,69.9,0.25,2025-04-27
203,69,Final,78.03,0.25,2025-05-04
204,69,Drill,86.03,0.25,2025-05-06
205,70,Midterm,93.81,0.25,2025-06-26
206,70,Drill,62.48,0.25,2025-05-28
207,71,Practical,65.39,0.25,2025-06-27
208,71,Final,80.1,0.25,2025-06-24
209,72,Practical,75.99,0.25,2025-04-12
210,72,Midterm,75.28,0.25,2025-05-17
211,73,Final,84.42,0.25,2024-10-15
212,73,Final,89.31,0.25,2024-10-15
213,74,Drill,80.21,0.25,2024-09-29
214,74,Final,97.65,0.25,2024-10-04
215,75,Drill,83.54,0.25,2024-10-04
216,75,Practical,62.23,0.25,2024-10-16
217,76,Final,97.72,0.25,2024-09-22
218,76,Practical,86.91,0.25,2024-08-21
219,76,Final,84.75,0.25,2024-09-01
220,77,Midterm,95.11,0.25,2024-09-21
221,77,Midterm,86.21,0.25,2024-08-29
222,77,Drill,75.51,0.25,2024-09-19
223,77,Midterm,91.2,0.25,2024-09-21
224,78,Practical,96.34,0.25,2025-11-22
225,78,Drill,90.62,0.25,2025-11-28
226,78,Midterm,92.16,0.25,2025-12-19
227,78,Practical,71.48,0.25,2025-12-30
228,79,Final,95.73,0.25,2025-11-05
229,79,Practical,88.61,0.25,2025-11-24
230,79,Midterm,92.77,0.25,2025-10-23
231,80,Midterm,85.74,0.25,2025-11-07
232,80,Practical,68.66,0.25,2025-11-06
233,80,Final,98.35,0.25,2025-12-15
234,81,Midterm,82.86,0.25,2025-11-25
235,81,Midterm,97.71,0.25,2025-11-29
236,82,Final,77.06,0.25,2025-11-06
237,82,Drill,95.82,0.25,2025-11-20
238,83,Drill,98.25,0.25,2026-01-14
239,83,Drill,73.99,0.25,2026-01-24
240,83,Final,64.73,0.25,2026-01-14
241,84,Final,71.65,0.25,2025-12-30
242,84,Practical,82.76,0.25,2025-12-04
243,84,Practical,96.88,0.25,2025-12-31
244,85,Drill,90.91,0.25,2025-12-30
245,85,Midterm,85.15,0.25,2026-01-17
246,85,Final,63.13,0.25,2025-12-17
247,86,Midterm,64.22,0.25,2025-12-08
248,86,Final,72.47,0.25,2025-12-28
249,86,Drill,79.23,0.25,2025-12-13
250,87,Midterm,99.89,0.25,2025-06-22
251,87,Practical,73.52,0.25,2025-06-15
252,88,Midterm,88.26,0.25,2025-06-19
253,88,Midterm,75.43,0.25,2025-06-06
254,88,Drill,84.97,0.25,2025-05-23
255,88,Practical,70.46,0.25,2025-06-11
256,89,Drill,79.09,0.25,2025-06-20
257,89,Practical,96.72,0.25,2025-06-21
258,89,Practical,70.13,0.25,2025-06-17
259,90,Midterm,68.65,0.25,2025-06-19
260,90,Final,89.46,0.25,2025-05-27
261,91,Final,93.22,0.25,2025-06-03
262,91,Drill,74.47,0.25,2025-05-21
263,91,Drill,91.69,0.25,2025-05-13
264,91,Practical,95.52,0.25,2025-04-23
265,92,Final,73.52,0.25,2025-05-05
266,92,Midterm,63.44,0.25,2025-06-10
267,92,Final,99.34,0.25,2025-05-25
268,92,Drill,77.05,0.25,2025-05-18
269,93,Midterm,98.64,0.25,2025-05-01
270,93,Practical,74.04,0.25,2025-05-28
271,93,Midterm,70.2,0.25,2025-05-17
272,93,Practical,65.61,0.25,2025-04-29
273,94,Practical,88.86,0.25,2025-03-25
274,94,Drill,80.32,0.25,2025-03-10
275,95,Midterm,88.3,0.25,2025-06-07
276,95,Midterm,68.44,0.25,2025-04-28
277,95,Final,90.14,0.25,2025-05-23
278,95,Drill,89.34,0.25,2025-06-05
279,96,Practical,97.77,0.25,2025-04-21
280,96,Drill,78.95,0.25,2025-03-10
281,96,Drill,83.96,0.25,2025-03-27
282,96,Midterm,98.67,0.25,2025-04-11
283,97,Drill,90.87,0.25,2025-05-20
284,97,Final,93.75,0.25,2025-06-11
285,97,Midterm,88.43,0.25,2025-05-11
286,98,Final,65.69,0.25,2025-03-07
287,98,Final,71.65,0.25,2025-02-06
288,98,Final,96.58,0.25,2025-03-09
289,99,Midterm,65.8,0.25,2025-04-20
290,99,Final,72.57,0.25,2025-03-26
291,99,Midterm,79.5,0.25,2025-03-24
292,100,Drill,82.75,0.25,2025-03-28
293,100,Final,67.12,0.25,2025-03-20
294,100,Drill,65.68,0.25,2025-03-06
295,101,Drill,89.98,0.25,2025-12-24
296,101,Practical,65.65,0.25,2025-12-17
297,101,Midterm,83.46,0.25,2026-01-06
298,101,Drill,68.33,0.25,2025-12-24
299,102,Drill,70.17,0.25,2025-12-29
300,102,Final,65.11,0.25,2026-01-01
301,102,Drill,67.63,0.25,2025-12-13
302,103,Practical,68.1,0.25,2026-01-01
303,103,Drill,75.68,0.25,2026-01-13
304,103,Final,70.46,0.25,2025-12-31
305,103,Practical,72.53,0.25,2025-12-12
306,104,Final,92.27,0.25,2025-11-25
307,104,Practical,88.27,0.25,2025-12-12
308,104,Practical,99.41,0.25,2026-01-09
309,105,Midterm,77.94,0.25,2026-01-25
310,105,Final,70.86,0.25,2026-02-04
311,105,Midterm,65.63,0.25,2026-01-13
312,105,Drill,67.49,0.25,2026-02-07
313,106,Final,83.03,0.25,2026-01-07
314,106,Practical,93.56,0.25,2026-01-15
315,107,Practical,78.62,0.25,2024-08-01
316,107,Practical,96.72,0.25,2024-07-14
317,107,Midterm,99.68,0.25,2024-07-05
318,107,Midterm,74.08,0.25,2024-07-01
319,108,Practical,60.86,0.25,2024-06-24
320,108,Final,82.84,0.25,2024-07-07
321,108,Practical,66.96,0.25,2024-06-09
322,109,Midterm,97.58,0.25,2024-07-28
323,109,Practical,80.29,0.25,2024-08-22
324,109,Midterm,74.31,0.25,2024-07-20
325,109,Practical,65.39,0.25,2024-08-14
326,110,Drill,95.78,0.25,2024-07-15
327,110,Practical,62.52,0.25,2024-08-12
328,110,Drill,96.55,0.25,2024-07-28
329,111,Practical,98.37,0.25,2024-07-30
330,111,Final,62.87,0.25,2024-07-19
331,112,Midterm,68.32,0.25,2024-08-13
332,112,Practical,72.44,0.25,2024-08-06
333,113,Midterm,62.92,0.25,2025-12-10
334,113,Midterm,66.0,0.25,2025-11-16
335,114,Midterm,69.77,0.25,2025-11-25
336,114,Drill,88.0,0.25,2025-10-28
337,115,Midterm,97.39,0.25,2026-01-05
338,115,Final,67.77,0.25,2025-12-26
339,116,Practical,86.86,0.25,2025-02-15
340,116,Drill,68.45,0.25,2025-02-19
341,116,Midterm,81.08,0.25,2025-03-06
342,116,Midterm,74.9,0.25,2025-03-30
343,117,Final,87.84,0.25,2025-04-15
344,117,Final,78.23,0.25,2025-03-13
345,117,Drill,84.49,0.25,2025-04-02
346,118,Midterm,84.25,0.25,2025-03-05
347,118,Practical,80.82,0.25,2025-04-03
348,118,Drill,83.62,0.25,2025-03-30
349,118,Practical,92.3,0.25,2025-03-10
350,119,Drill,80.03,0.25,2025-01-29
351,119,Midterm,92.91,0.25,2025-02-23
352,120,Final,61.01,0.25,2025-03-16
353,120,Drill,77.62,0.25,2025-03-02
354,120,Drill,83.44,0.25,2025-03-04
355,120,Final,87.75,0.25,2025-02-27
356,121,Practical,93.88,0.25,2025-03-11
357,121,Final,73.68,0.25,2025-04-02
358,121,Practical,91.99,0.25,2025-03-27
359,122,Practical,97.08,0.25,2026-01-18
360,122,Drill,83.19,0.25,2026-01-21
361,123,Practical,86.23,0.25,2026-01-11
362,123,Drill,78.65,0.25,2026-02-04
363,123,Drill,66.2,0.25,2026-02-09
364,123,Final,61.91,0.25,2026-01-20
365,124,Final,83.78,0.25,2026-03-08
366,124,Midterm,73.57,0.25,2026-02-09
367,124,Final,64.74,0.25,2026-01-30
368,124,Midterm,70.85,0.25,2026-03-09
369,125,Midterm,91.96,0.25,2026-01-22
370,125,Practical,62.7,0.25,2025-12-22
371,126,Practical,69.28,0.25,2026-01-24
372,126,Final,98.95,0.25,2026-02-28
373,126,Final,88.28,0.25,2026-02-24
374,127,Midterm,62.66,0.25,2026-02-12
375,127,Drill,82.7,0.25,2026-01-09
376,127,Practical,62.53,0.25,2026-01-28
377,128,Final,66.45,0.25,2024-08-29
378,128,Final,85.11,0.25,2024-09-04
379,128,Practical,63.74,0.25,2024-08-26
380,128,Drill,70.61,0.25,2024-08-26
381,129,Final,79.4,0.25,2024-08-10
382,129,Final,98.5,0.25,2024-08-05
383,129,Drill,75.85,0.25,2024-07-19
384,129,Practical,68.87,0.25,2024-07-30
385,130,Midterm,72.37,0.25,2024-08-06
386,130,Midterm,67.43,0.25,2024-07-18
387,130,Practical,94.52,0.25,2024-07-23
388,131,Midterm,84.9,0.25,2024-08-09
389,131,Final,66.07,0.25,2024-08-12
390,132,Drill,96.78,0.25,2025-08-19
391,132,Practical,89.32,0.25,2025-08-17
392,132,Final,98.33,0.25,2025-08-21
393,133,Midterm,79.74,0.25,2025-09-03
394,133,Drill,71.76,0.25,2025-08-29
395,134,Practical,80.25,0.25,2025-09-14
396,134,Midterm,92.12,0.25,2025-09-03
397,134,Midterm,71.98,0.25,2025-09-23
398,135,Drill,84.92,0.25,2024-12-12
399,135,Drill,92.9,0.25,2024-11-23
400,135,Midterm,60.32,0.25,2024-11-28
401,136,Final,94.94,0.25,2024-11-25
402,136,Practical,66.67,0.25,2024-11-30
403,137,Drill,78.51,0.25,2024-12-21
404,137,Midterm,84.2,0.25,2024-12-27
405,138,Drill,74.35,0.25,2025-02-02
406,138,Final,87.07,0.25,2025-02-23
407,138,Drill,79.72,0.25,2025-03-05
408,138,Midterm,95.09,0.25,2025-02-03
409,139,Midterm,83.0,0.25,2025-02-26
410,139,Midterm,76.7,0.25,2025-02-17
411,140,Midterm,96.79,0.25,2025-02-14
412,140,Practical,67.0,0.25,2025-02-02
413,140,Midterm,88.6,0.25,2025-02-07
414,140,Final,75.44,0.25,2025-02-13
415,141,Final,67.81,0.25,2025-02-17
416,141,Practical,67.89,0.25,2025-02-10
417,141,Midterm,73.49,0.25,2025-02-01
418,142,Midterm,69.75,0.25,2025-02-12
419,142,Practical,83.61,0.25,2025-01-25
420,142,Midterm,93.92,0.25,2025-02-22
421,142,Practical,79.08,0.25,2025-02-25
422,143,Drill,76.67,0.25,2024-06-20
423,143,Final,62.59,0.25,2024-06-02
424,143,Midterm,97.06,0.25,2024-06-30
425,144,Midterm,89.16,0.25,2024-07-13
426,144,Practical,76.84,0.25,2024-07-12
427,144,Practical,66.36,0.25,2024-06-28
428,145,Drill,62.99,0.25,2024-06-12
429,145,Drill,80.94,0.25,2024-07-10
430,145,Drill,82.71,0.25,2024-06-14
431,146,Drill,63.84,0.25,2024-04-29
432,146,Practical,90.59,0.25,2024-05-08
433,146,Midterm,92.53,0.25,2024-05-29
434,147,Drill,69.16,0.25,2024-05-20
435,147,Midterm,85.95,0.25,2024-05-14
436,148,Drill,90.61,0.25,2024-06-03
437,148,Practical,65.03,0.25,2024-06-25
438,148,Practical,95.09,0.25,2024-06-21
439,149,Midterm,88.66,0.25,2025-08-11
