module_id,module_code,name,credits,department,difficulty_level,total_sessions
1,PHY-385,Adv. Physical Operations 1,6,Physical,Elite,15
2,CYB-602,Adv. Cyber Operations 1,4,Cyber,Basic,20
3,MED-878,Adv. Medical Operations 1,5,Medical,Elite,11
4,CYB-389,Adv. Cyber Operations 5,6,Cyber,Advanced,20
5,PHY-685,Adv. Physical Operations 1,5,Physical,Advanced,30
6,MED-967,Adv. Medical Operations 5,4,Medical,Basic,11
7,CYB-947,Adv. Cyber Operations 3,4,Cyber,Basic,16
8,CYB-600,Adv. Cyber Operations 5,5,Cyber,Advanced,25
9,TAC-697,Adv. Tactical Operations 4,5,Tactical,Advanced,28
10,STR-709,Adv. Strategic Operations 4,3,Strategic,Basic,16
11,PHY-384,Adv. Physical Operations 5,4,Physical,Advanced,26
12,STR-183,Adv. Strategic Operations 1,3,Strategic,Elite,26
13,CYB-390,Adv. Cyber Operations 1,5,Cyber,Elite,16
14,STR-809,Adv. Strategic Operations 5,6,Strategic,Elite,18
15,STR-158,Adv. Strategic Operations 1,6,Strategic,Basic,23
